SalesDetailsKey,SalesHeaderKey,SalesOrderNumber,ProductKey,ProductSubcategoryKey,OrderQuantity,UnitPrice,ExtendedAmount,OrderDate,DueDate,ShipDate,CustomerKey,RegionKey,Unit Cost,% Discount
39909,3371,SO55236,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",34,10,125.007,"0,030096033"
40069,3762,SO55244,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",634,9,208.345,"0,098539867"
40103,613,SO55247,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",95,4,125.007,"0,02703548"
40383,510,SO55256,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",331,4,125.007,"0,029168669"
40437,3704,SO55258,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",123,9,208.345,"0,23504844"
40450,2936,SO55259,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",691,2,125.007,"0,030796722"
40508,810,SO55263,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",120,6,125.007,"0,027460841"
40745,458,SO55276,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",205,4,125.007,"0,02514296"
41133,1687,SO55299,572,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",110,1,125.007,"0,028399453"
41891,1608,SO57026,572,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",361,1,125.007,"0,026924218"
42466,3246,SO57058,572,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",103,7,125.007,"0,021963967"
43277,1020,SO57103,572,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",138,6,125.007,"0,02171429"
44541,2325,SO57190,572,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",8,5,125.007,"0,036438275"
44850,3677,SO58915,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",688,9,208.345,"0,138328215"
45076,3675,SO58922,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",249,9,208.345,"0,187788502"
45118,2097,SO58924,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",297,5,125.007,"0,022130035"
45442,343,SO58937,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",295,4,125.007,"0,043182706"
45451,1381,SO58939,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",228,6,125.007,"0,030129544"
45589,3730,SO58948,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",682,9,208.345,"0,140124154"
45991,1912,SO58966,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",38,1,125.007,"0,019541111"
46219,577,SO58977,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",59,4,125.007,"0,019670322"
46242,178,SO58979,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",509,4,125.007,"0,036993332"
46359,560,SO58984,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",186,4,125.007,"0,027735832"
46428,2209,SO58993,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",627,5,125.007,"0,038055118"
46738,2653,SO59016,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",223,3,125.007,"0,038915098"
46942,3547,SO59028,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",464,8,125.007,"0,036546033"
47530,2846,SO59075,572,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",179,2,125.007,"0,03988915"
47821,209,SO61188,572,17,1,445.41,445.41,"Sunday, June 30, 2013","Friday, July 12, 2013","Sunday, July 7, 2013",331,4,125.007,"0,027508927"
48155,655,SO61212,572,17,1,445.41,445.41,"Sunday, June 30, 2013","Friday, July 12, 2013","Sunday, July 7, 2013",95,4,125.007,"0,030798931"
48838,3644,SO61254,572,17,1,445.41,445.41,"Sunday, June 30, 2013","Friday, July 12, 2013","Sunday, July 7, 2013",86,8,125.007,"0,035546305"
49337,3305,SO63153,572,17,1,445.41,445.41,"Wednesday, July 31, 2013","Monday, August 12, 2013","Monday, July 8, 2013",283,7,125.007,"0,030294987"
